Filename,Date,Selection,RMS,PeakFreq,PeakLev,Verified,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Partial,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
805568538.190613004652_sel14_S12.wav,190613004652,S12,116.8536542,94,110.1629513,1,1,13,0,58,0,5,42,1,1,0.10638297872340426,1,2019-06-13,12,Spectrogram 1,1,37803.824719444,37846.388497965,58,6479.7,2019-06-13,21:46:54,21:47:37,42.5638,TransitA+Maneuver,y,NA,201906,WP,0.011823277777777778,2019-06-13T11:46:54Z,2019-06-13T11:46:54Z,21,2019-06-13,Thursday
805568538.190615004652_sel07_S7.wav,190615004652,S7,116.3219136,61,108.6907334,1,1,16,0,60,1,0,49,1,0.9836065573770492,0,0.987012987012987,2019-06-15,7,Spectrogram 1,1,23061.685037557,23365.747267618,19.3,8723.4,2019-06-15,13:11:13,13:16:17,304.0622,TransitA+Maneuver,n,NA,201906,WP,0.08446172222222223,2019-06-15T03:11:13Z,2019-06-15T03:11:13Z,13,2019-06-15,Saturday
805568538.190615004652_sel09_S9.wav,190615004652,S9,125.1845683,231,103.665302,1,1,25,0,50,25,0,31,1,0.6666666666666666,0,0.75,2019-06-15,9,Spectrogram 1,1,24380.311046139,24438.892246577,23.9,9168.3,2019-06-15,14:03:11,14:04:10,58.5812,TransitA+Maneuver,n,NA,201906,WP,0.016272555555555557,2019-06-15T04:03:11Z,2019-06-15T04:03:11Z,14,2019-06-15,Saturday
805568538.190615004652_sel10_S10.wav,190615004652,S10,127.516971,199,115.6072771,1,1,7,0,43,0,26,15,1,1,0.6341463414634146,1,2019-06-15,10,Spectrogram 1,1,24786.447956441,24819.60289971,19.3,9883.9,2019-06-15,14:09:57,14:10:31,33.1549,TransitA+Maneuver,n,NA,201906,WP,0.009209694444444444,2019-06-15T04:09:57Z,2019-06-15T04:09:57Z,14,2019-06-15,Saturday
805568538.190709004652_sel01_S7.wav,190709004652,S7,126.4338755,290,109.1070058,1,1,15,0,60,0,1,48,1,1,0.02040816326530612,1,2019-07-09,7,Spectrogram 1,1,23403.701904104,25199.703147039,67.7,23559.7,2019-07-09,13:46:55,14:16:51,1796.0012,TransitA+Maneuver,y,NA,201906,WP,0.4988892222222222,2019-07-09T03:46:55Z,2019-07-09T03:46:55Z,13,2019-07-09,Tuesday
805568538.190712004652_sel02_S3.wav,190712004652,S3,121.6018583,78,116.7974136,1,1,6,0,40,0,30,10,1,1,0.75,1,2019-07-12,3,Spectrogram 1,1,16203.472308248,17263.198468938,38.7,23787.2,2019-07-12,09:46:55,10:04:34,1059.7262,TransitA+Maneuver,y,chain rattling,201906,WP,0.2943683888888889,2019-07-11T23:46:55Z,2019-07-11T23:46:55Z,9,2019-07-12,Friday
805568538.190712004652_sel07_S4.wav,190712004652,S4,123.236458,54,115.9476191,1,1,7,0,42,0,27,14,1,1,0.6585365853658537,1,2019-07-12,4,Spectrogram 1,1,19936.741707789,20430.470393889,58,8336.6,2019-07-12,11:49:08,11:57:21,493.7287,TransitA+Maneuver,n,NA,201906,WP,0.1371468611111111,2019-07-12T01:49:08Z,2019-07-12T01:49:08Z,11,2019-07-12,Friday
805568538.190713004652_sel02_S2.wav,190713004652,S2,122.2495057,65,115.4358646,1,1,7,0,43,0,26,16,1,1,0.6190476190476191,1,2019-07-13,2,Spectrogram 1,1,15728.436393409,16200.099120644,48.4,9864.6,2019-07-13,09:09:00,09:16:51,471.6627,TransitA+Maneuver,y,NA,201906,WP,0.13101741666666666,2019-07-12T23:09:00Z,2019-07-12T23:09:00Z,9,2019-07-13,Saturday
805568538.190713004652_sel09_S3.wav,190713004652,S3,121.2614844,48,116.1819133,1,1,7,0,41,0,28,13,1,1,0.6829268292682927,1,2019-07-13,3,Spectrogram 1,1,16203.488601807,17085.426888612,9.7,9903.3,2019-07-13,09:46:55,10:01:36,881.9383,TransitA+Maneuver,y,NA,201906,WP,0.24498286111111112,2019-07-12T23:46:55Z,2019-07-12T23:46:55Z,9,2019-07-13,Saturday
805568538.190713004652_sel13_S4.wav,190713004652,S4,117.0912455,52,113.1744799,1,1,10,0,49,0,17,27,1,1,0.38636363636363635,1,2019-07-13,4,Spectrogram 1,1,17341.358318878,17876.306455844,38.7,3675,2019-07-13,10:05:52,10:14:47,534.9481,TransitA+Maneuver,n,probably same as previous,201906,WP,0.14859669444444443,2019-07-13T00:05:52Z,2019-07-13T00:05:52Z,10,2019-07-13,Saturday
