Filename,Date,Selection,RMS,PeakFreq,PeakLev,Verified,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
805568538.180829034958_sel21_S29.wav,180829000000,S29,120.5673239,64,113.2972696,1,1,9,0,49,0,18,26,1,1,0.4090909090909091,1,2018-08-29,29,Spectrogram 1,1,48634.445246974,48715.379544176,0,6500.994,2018-08-29,17:20:30,17:21:51,80.9343,CPA,NA,201808,WP,0.022481749999999998,2018-08-29T07:20:30Z,2018-08-29T07:20:30Z,17,2018-08-29,Wednesday
805568538.180829034958_sel25_S32.wav,180829000000,S32,123.3048624,59,117.5000593,1,1,6,0,37,0,33,7,1,1,0.825,1,2018-08-29,32,Spectrogram 1,1,50615.759117518,50714.956186329,0,5546.72,2018-08-29,17:53:31,17:55:11,99.1971,CPA,NA,201808,WP,0.027554750000000003,2018-08-29T07:53:31Z,2018-08-29T07:53:31Z,17,2018-08-29,Wednesday
805568538.180830031855_sel09_S10.wav,180830000000,S10,127.5279048,171,118.2925914,1,1,5,0,36,0,35,3,1,1,0.9210526315789473,1,2018-08-30,10,Spectrogram 1,1,41429.270063123004,41506.131368096,0,8247,2018-08-30,14:49:23,14:50:40,76.8613,CPA,NA,201808,WP,0.02135036111111111,2018-08-30T04:49:23Z,2018-08-30T04:49:23Z,14,2018-08-30,Thursday
805568538.180830031855_sel10_S11.wav,180830000000,S11,118.7552111,164,109.0381275,1,1,15,0,61,0,0,48,1,1,0,1,2018-08-30,11,Spectrogram 1,1,42066.102181204,42162.014578863,0,7888.4,2018-08-30,15:00:00,15:01:36,95.9124,CPA,NA,201808,WP,0.026642333333333334,2018-08-30T05:00:00Z,2018-08-30T05:00:00Z,15,2018-08-30,Thursday
805568538.180830031855_sel11_S13.wav,180830000000,S13,123.5933066,204,114.1219891,1,1,9,0,46,0,21,22,1,1,0.4883720930232558,1,2018-08-30,13,Spectrogram 1,1,43155.167879836,43235.313855961,0,7111.6,2018-08-30,15:18:08,15:19:28,80.146,CPA,NA,201808,WP,0.022262777777777777,2018-08-30T05:18:08Z,2018-08-30T05:18:08Z,15,2018-08-30,Thursday
805568538.180830031855_sel13_S15.wav,180830000000,S15,123.994529,180,109.6420137,1,1,14,0,59,0,3,45,1,1,0.0625,1,2018-08-30,15,Spectrogram 1,1,44339.850357968,44404.755478695,0,7490,2018-08-30,15:37:52,15:38:57,64.9051,CPA,NA,201808,WP,0.018029194444444445,2018-08-30T05:37:52Z,2018-08-30T05:37:52Z,15,2018-08-30,Thursday
805568538.180830031855_sel15_S16.wav,180830000000,S16,116.8583473,116,106.075577,1,1,20,0,55,13,0,50,1,0.8088235294117647,0,0.8522727272727273,2018-08-30,16,Spectrogram 1,1,46035.135039538,46136.565684732,99.6,9462.2,2018-08-30,16:06:08,16:07:49,101.4306,CPA,NA,201808,WP,0.028175166666666668,2018-08-30T06:06:08Z,2018-08-30T06:06:08Z,16,2018-08-30,Thursday
805568538.180830031855_sel17_S17.wav,180830000000,S17,121.3079783,199,108.3515866,1,1,16,0,60,3,0,48,1,0.9523809523809523,0,0.9620253164556962,2018-08-30,17,Spectrogram 1,1,46759.547438595,46847.970786025,0,6195.2,2018-08-30,16:18:12,16:19:40,88.4233,CPA,on/off,201808,WP,0.024562027777777776,2018-08-30T06:18:12Z,2018-08-30T06:18:12Z,16,2018-08-30,Thursday
805568538.180830031855_sel18_S18.wav,180830000000,S18,127.3837606,181,120.2919593,1,1,4,0,31,0,35,0,1,1,1,1,2018-08-30,18,Spectrogram 1,1,47512.109476886,47584.240855398,0,7231.1,2018-08-30,16:30:45,16:31:57,72.1314,CPA,possibly M inside,201808,WP,0.0200365,2018-08-30T06:30:45Z,2018-08-30T06:30:45Z,16,2018-08-30,Thursday
805568538.180830031855_sel19_S19.wav,180830000000,S19,118.962316,175,110.3619028,1,1,13,0,57,0,6,41,1,1,0.1276595744680851,1,2018-08-30,19,Spectrogram 1,1,47996.926995271,48061.700710401,0,5976.1,2018-08-30,16:38:49,16:39:54,64.7737,CPA,NA,201808,WP,0.017992694444444447,2018-08-30T06:38:49Z,2018-08-30T06:38:49Z,16,2018-08-30,Thursday
805568538.180830031855_sel20_S20.wav,180830000000,S20,125.7192541,163,115.9072186,1,1,7,0,42,0,27,14,1,1,0.6585365853658537,1,2018-08-30,20,Spectrogram 1,1,48361.372252661,48411.69341472,0,7928.3,2018-08-30,16:44:54,16:45:44,50.3212,CPA,NA,201808,WP,0.01397811111111111,2018-08-30T06:44:54Z,2018-08-30T06:44:54Z,16,2018-08-30,Thursday
805568538.180830031855_sel22_S21.wav,180830000000,S21,120.2054587,176,110.0514417,1,1,14,0,57,0,5,43,1,1,0.10416666666666667,1,2018-08-30,21,Spectrogram 1,1,48552.518241286,48655.262754942,0,6932.3,2018-08-30,16:48:05,16:49:48,102.7445,CPA,NA,201808,WP,0.02854013888888889,2018-08-30T06:48:05Z,2018-08-30T06:48:05Z,16,2018-08-30,Thursday
805568538.180901022649_sel01_S1.wav,180901000000,S1,119.8173757,79,106.0938498,1,1,20,0,55,13,0,50,1,0.8088235294117647,0,0.8522727272727273,2018-09-01,1,Spectrogram 1,1,27703.328459824,27939.824801566,0,8207.2,2018-09-01,10:08:30,10:12:27,236.4963,CPA,NA,201808,WP,0.06569341666666667,2018-09-01T00:08:30Z,2018-09-01T00:08:30Z,10,2018-09-01,Saturday
805568538.180901022649_sel02_S2.wav,180901000000,S2,120.2854718,122,103.8781331,1,1,24,0,51,24,0,39,1,0.68,0,0.7575757575757576,2018-09-01,2,Spectrogram 1,1,30315.430647278,30428.42335368,59.8,8545.8,2018-09-01,10:52:02,10:53:55,112.9927,CPA,NA,201808,WP,0.03138686111111111,2018-09-01T00:52:02Z,2018-09-01T00:52:02Z,10,2018-09-01,Saturday
805568538.180902021948_sel01_S3.wav,180902000000,S3,118.8762875,255,110.1699259,1,1,13,0,58,0,5,42,1,1,0.10638297872340426,1,2018-09-02,3,Spectrogram 1,1,23166.656934231,23652.131368096,119.5,8784.9,2018-09-02,08:45:54,08:53:59,485.4744,Maneuver+TransitA,changes speed 2x,201808,WP,0.134854,2018-09-01T22:45:54Z,2018-09-01T22:45:54Z,8,2018-09-02,Sunday
805568538.180906002238_sel15_S9.wav,180906000000,S9,119.7148245,51,112.028968,1,1,11,0,52,0,13,33,1,1,0.2826086956521739,1,2018-09-06,9,Spectrogram 1,1,35731.744529745,36876.781024818,259,6613.5,2018-09-06,10:18:07,10:37:12,1145.0365,CPA,NA,201808,WP,0.31806569444444444,2018-09-06T00:18:07Z,2018-09-06T00:18:07Z,10,2018-09-06,Thursday
