"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
209,101.799678992932,121.120519749197,"805568538.230627011530_sel11_239.2479684.wav",239.2479684,-172.4,20,5000
183,94.8824379954336,114.278513386279,"805568538.230627011530_sel11_405.9510387.wav",405.9510387,-172.4,20,5000
181,90.5035084215822,112.668005029397,"805568538.230627011530_sel11_537.wav",537,-172.4,20,5000
327,89.1638283284297,109.591528594573,"805568538.230627011530_sel11_763.wav",763,-172.4,20,5000
256,87.0481081015228,108.368585452593,"805568538.230627011530_sel12_1033.wav",1033,-172.4,20,5000
137,102.466345719158,119.808798646324,"805568538.230627011530_sel12_230.wav",230,-172.4,20,5000
253,103.513197779102,120.964261517161,"805568538.230627011530_sel12_256.9740346.wav",256.9740346,-172.4,20,5000
182,97.4449675303251,114.489885806005,"805568538.230627011530_sel12_419.2508639.wav",419.2508639,-172.4,20,5000
170,94.347591123772,113.74008221324,"805568538.230627011530_sel12_518.wav",518,-172.4,20,5000
142,91.1064073645203,109.2447060358,"805568538.230627011530_sel12_802.wav",802,-172.4,20,5000
262,87.5731377702244,107.554339249364,"805568538.230627011530_sel13_1023.wav",1023,-172.4,20,5000
194,100.797239460569,119.6252177441,"805568538.230627011530_sel13_272.7856608.wav",272.7856608,-172.4,20,5000
144,98.3918680477897,116.627125521097,"805568538.230627011530_sel13_346.wav",346,-172.4,20,5000
187,96.7456907341313,113.840133015973,"805568538.230627011530_sel13_438.8345369.wav",438.8345369,-172.4,20,5000
213,93.0792038691806,113.362119263878,"805568538.230627011530_sel13_550.wav",550,-172.4,20,5000
220,89.2299842530543,108.441255972696,"805568538.230627011530_sel13_834.wav",834,-172.4,20,5000
544,89.4603324564466,108.363159264395,"805568538.230627011530_sel14_1012.wav",1012,-172.4,20,5000
285,101.169469508141,119.209967440139,"805568538.230627011530_sel14_286.0437386.wav",286.0437386,-172.4,20,5000
131,98.5299315976207,113.964099452694,"805568538.230627011530_sel14_463.9349546.wav",463.9349546,-172.4,20,5000
249,96.1116432366531,114.280677505723,"805568538.230627011530_sel14_466.wav",466,-172.4,20,5000
126,98.8415587911593,114.422886189954,"805568538.230627011530_sel14_536.wav",536,-172.4,20,5000
641,88.8566740966603,109.71206940599,"805568538.230627011530_sel14_864.wav",864,-172.4,20,5000
203,85.7568635430331,108.565093139876,"805568538.230627011530_sel15_1022.wav",1022,-172.4,20,5000
185,101.548764785699,119.11286709627,"805568538.230627011530_sel15_293.5981276.wav",293.5981276,-172.4,20,5000
132,98.9767692752354,115.534652073091,"805568538.230627011530_sel15_481.4208258.wav",481.4208258,-172.4,20,5000
282,91.9892015543529,113.323181563136,"805568538.230627011530_sel15_495.wav",495,-172.4,20,5000
162,95.294499458037,111.568985526657,"805568538.230627011530_sel15_573.wav",573,-172.4,20,5000
234,87.1933794054603,108.838798892755,"805568538.230627011530_sel15_890.wav",890,-172.4,20,5000
281,99.304098057785,118.973557775785,"805568538.230627011530_sel16_291.4546351.wav",291.4546351,-172.4,20,5000
176,91.9043550584725,112.871250880936,"805568538.230627011530_sel16_485.wav",485,-172.4,20,5000
132,96.2680356064938,115.071632503263,"805568538.230627011530_sel16_497.2153117.wav",497.2153117,-172.4,20,5000
127,91.4743901942982,108.804564215689,"805568538.230627011530_sel16_681.wav",681,-172.4,20,5000
163,90.3867466466454,108.41559597171,"805568538.230627011530_sel16_923.wav",923,-172.4,20,5000
342,86.5457621702456,107.312417036698,"805568538.230627011530_sel16_981.wav",981,-172.4,20,5000
545,84.9546241289565,106.393240779906,"805568538.230627011530_sel17_1008.wav",1008,-172.4,20,5000
291,97.8332209531281,117.800413588817,"805568538.230627011530_sel17_272.4447808.wav",272.4447808,-172.4,20,5000
141,93.5749819232872,113.96083210382,"805568538.230627011530_sel17_507.4100152.wav",507.4100152,-172.4,20,5000
194,93.4367858219344,113.506647346348,"805568538.230627011530_sel17_507.wav",507,-172.4,20,5000
144,89.4835812120875,106.97637983848,"805568538.230627011530_sel17_764.wav",764,-172.4,20,5000
185,89.1159812923873,108.530067839837,"805568538.230627011530_sel17_951.wav",951,-172.4,20,5000
260,104.748465921361,120.158194918055,"805568538.230627011530_sel18_256.4076225.wav",256.4076225,-172.4,20,5000
193,96.0960221849697,114.560253240336,"805568538.230627011530_sel18_502.wav",502,-172.4,20,5000
134,95.6644426082901,115.233969201721,"805568538.230627011530_sel18_521.8255615.wav",521.8255615,-172.4,20,5000
152,86.456154658807,105.890179784891,"805568538.230627011530_sel18_839.wav",839,-172.4,20,5000
326,86.6212391742257,107.868348251382,"805568538.230627011530_sel18_946.wav",946,-172.4,20,5000
243,89.3242084949432,109.643002272536,"805568538.230627011530_sel18_968.wav",968,-172.4,20,5000
133,103.712553664981,120.411309073993,"805568538.230627011530_sel19_258.1797415.wav",258.1797415,-172.4,20,5000
197,93.1012470222379,112.975370345294,"805568538.230627011530_sel19_468.wav",468,-172.4,20,5000
144,95.2897303422681,115.985865655033,"805568538.230627011530_sel19_532.4026303.wav",532.4026303,-172.4,20,5000
162,89.5510930884586,107.015540811003,"805568538.230627011530_sel19_917.wav",917,-172.4,20,5000
161,87.5369254884808,108.245398473543,"805568538.230627011530_sel19_946.wav",946,-172.4,20,5000
169,89.1061928358538,109.208566578731,"805568538.230627011530_sel19_977.wav",977,-172.4,20,5000
753,90.7155498338376,109.082272325765,"805568538.230627011530_sel20_1000.wav",1000,-172.4,20,5000
135,89.7548020181587,107.822462383913,"805568538.230627011530_sel20_1020.wav",1020,-172.4,20,5000
255,100.084052028423,119.401406251909,"805568538.230627011530_sel20_272.2955739.wav",272.2955739,-172.4,20,5000
169,93.9962975067081,114.847868195987,"805568538.230627011530_sel20_509.wav",509,-172.4,20,5000
136,95.5285487440295,115.215247456125,"805568538.230627011530_sel20_539.3956492.wav",539.3956492,-172.4,20,5000
242,89.5170025728534,109.96560712183,"805568538.230627011530_sel20_984.wav",984,-172.4,20,5000
136,92.7905522505013,114.699246309328,"805568538.230627011530_sel21_540.6910743.wav",540.6910743,-172.4,20,5000
169,88.2811758520474,110.166379514517,"805568538.230627011530_sel21_985.wav",985,-172.4,20,5000
135,95.0723401722334,114.550147806729,"805568538.230627011530_sel22_537.9150706.wav",537.9150706,-172.4,20,5000
126,95.9927032439662,115.314346142954,"805568538.230627011530_sel23_532.866383.wav",532.866383,-172.4,20,5000
185,94.2034402899291,115.151644008457,"805568538.230627011530_sel24_526.4961166.wav",526.4961166,-172.4,20,5000
126,96.1850393284073,115.53541599241,"805568538.230627011530_sel25_517.9341409.wav",517.9341409,-172.4,20,5000
